🉁,三
譿,𬤭慧𠠋譓
讁,谪謫適
讂,𧭦譞
讄,誄𧫖𧬀𧮢
讅,谉審諗
讆,𬣀讏㦣
讇,𬤛諂
讈,𧬎
讉,𬤦
讋,詟懾譶𧮩龘𩐶
讍,諤
讏,讆㦣
讑,𧭆
讔,𧮐
讕,谰㘓諫譋
讗,𡄴𧮄
讘,喦䜆
讛,囈
讜,谠𧫆𧩡譡𧭢黨
讝,𧮜
讞,谳𤅊囐
讟,㾄黷
讠,訁言
计,計
订,訂
讣,訃
认,認
讥,譏
讦,訐
讧,訌
讨,討
让,讓
讪,訕
讫,訖
讬,託
训,訓
议,議
讯,訊
记,記
讱,訒
讲,講
讳,諱
讴,謳
讵,詎
讶,訝
讷,訥
许,許
讹,訛譌
论,論
讻,訩
讼,訟
讽,諷
设,設
访,訪
诀,訣
证,證
诂,詁
诃,訶
评,評
诅,詛
识,䛊識
诇,詗
诈,詐
诉,愬訴
诊,診
诋,詆
诌,謅
词,䛐詞
诎,詘
诏,詔
诐,詖
译,譯
诒,詒
诓,誆
诔,誄
试,試暑
诖,詿
诗,詩
诘,詰
诙,詼
诚,誠
诛,誅
诜,詵
话,䛡話
诞,誕
诟,詬
诠,詮
诡,詭
询,詢咰
诣,詣
诤,諍
该,該
详,詳
诧,詫
诨,諢
诩,詡
诪,譸
诫,誡
诬,誣
语,語惢
诮,誚
误,誤
诰,誥
诱,誘
诲,誨
诳,誑
说,説
诵,誦
诶,誒
请,請
诸,諸
诹,諏
诺,諾
读,讀
诼,諑
诽,誹
课,課
诿,諉
谀,諛
谁,誰
谂,諗
调,調
谄,諂
谅,諒
谆,諄
谇,誶
谈,談
谉,讅
谊,誼
谋,謀
谌,諶
谍,諜
谎,謊
谏,諫
谐,諧
谑,謔
谒,謁
谓,謂
谔,諤
谕,諭
谖,諼
谗,讒
谘,諮
谙,諳
谚,諺
谛,諦
谜,謎
谝,諞
谞,諝
谟,謨謩
谠,讜
谡,謖
谢,謝
谣,謡
谤,謗
谥,諡謚
谦,謙
谧,謐
谨,謹
谩,謾
谪,謫讁
谫,謭
谬,謬
谭,譚
谮,譖
谯,譙
谰,讕
谱,譜
谲,譎
谳,讞
谴,譴
谵,譫
谶,讖
谸,芊阡𧮮
谹,𧮯
谻,𠫷𧮭𧮬𧮷𠙆𠙏
谼,洪硔䜫
谽,𧮰𧮳
谾,𩓅豅
豀,谿
豃,𧯘
豄,𨽍
豅,谾蝕𧯇
豉,𢻃䜴䜵䜻𩚡敊
豋,𢍪𧯭𤮘𧰍𡖚𧰐
豍,藊𧯪
豑,𧰅豒秩
豒,豑
豓,艳𧰚艷豔艶
豔,艳艷𡤸𦫢艶𧰟豓𡤩
豖,豕𢒔
豗,拻𧰬𧱉䝇
豘,豚𧰭
豙,𧱏
豛,𧰵𧰶𧱕𧱣
豜,豣𧱚𧲀
豝,羓𤜱𧲧
豞,哮𩧚𩢳𩣗𧰴𧲳
豟,䝈𤝤𤜸𧲒𧱒
豠,𧱑
豣,猏豜𧱚𧲀𧲨
豤,墾啃懇狠𧱗𧱟貇𪙲𧳢𧱨
豥,𧱱
豦,𤢓
豨,狶𧳐
豩,𤞱𧲏
豭,猳
豮,豶
豰,𣫔㺉𧲐𧲇
豲,獂𧱂𧱖䝠
豳,斑斒汃邠𡺳
豴,蹢
豵,𫎆𧱷𤡆𧲓𧱭
豶,豮獖𧴍
豷,𤡬𧱲
豻,幹犴𤟉貋
豽,貀𤜽
豾,狉𤞜
豿,狗𧲿
貀,𤜽𤝒豽𧰹
貁,狖𤜴𤣛
貃,貊
貄,𧳙𤝽
貆,狟𧳔貛𧱖
貇,懇豤貌
貈,𧲩𧴏貉𧲪𧴘
貋,豻
貏,𧳠𧳴
貐,㺄
貒,猯𧳲𧳩𧤗䝎
貓,猫錨
貕,奚
貖,𪕶
貗,𫎌䝏
貙,䝙𤠾𧲰
貛,獾䝔貆犿
貜,玃蠼
貟,贠員
貣,𧴮忒貸
貤,𥅓𥿫䝯𧷆𥃸
貥,魧
貦,玩
🈣,販
貱,𬥶
貺,贶況𣍦𧵦𧵮
貾,𧵇
賅,赅侅賌
賉,恤卹
賋,皎
賌,賅
賐,𧸩䞊
賒,赊奢唦𧴳賖𧶟
賔,賓賓
賕,赇
賖,賒𧴳
賗,𬥸
賘,賍
賙,赒周
賝,𫎩琛𧷉
賟,𧹖
賡,赓続續
賥,粹
賧,赕倓𧵊贆
賨,𢃏賩𧹆
賩,賨
賫,赍賷齎
賬,账帳𧹔
賮,𧷇贐
賯,𧵣
賰,䞐偆
賲,宲
賴,赖頼利嬾懶癩𧡽𩓃顂
賵,赗𠙒
賶,𬥳
賷,赍賫齎
賸,剩𬂉𧷽䞉𦫂
賹,鎰
賾,赜𦣱𡁦𡁃𡄙𧶷𧷤歵
贁,𣀕敗
贂,𬥞
贃,𧹗
贆,猋𧷼賧
贉,𫎫𧸘
贎,𧸱𧹇𨲴
贑,赣𫎬贛灨
贒,賢
贕,𫧿𧸷
贗,赝贋偐
贙,𧷠𧸾
贚,𫎦
贛,赣贑灨戇𣹟𥫔𧹄𧹉贛𩐬𩑅
贛,贛
贜,赃贓
贝,貝𫨰
贞,貞
负,負
贠,貟
贡,貢
财,財
责,責
贤,賢
败,敗
账,賬
货,貨
质,質
贩,販
贪,貪
贫,貧
贬,貶
购,購𧵈
贮,貯
贯,貫
贰,貳
贱,賤
贲,賁
贳,貰
贴,貼
贵,貴
贶,貺
贷,貸
贸,貿
费,費
贺,賀
贻,貽
贼,賊
贽,贄
贾,賈
贿,賄
赀,貲
赁,賃
赂,賂
赃,賍贜
资,貲資
赅,賅
赆,贐
赇,賕
赈,賑
赉,賚
赊,賒
赋,賦
赌,賭
赍,賫賷齎
赎,贖
赏,賞
赐,賜
赑,贔
赒,賙
赓,賡
赔,賠
赕,賧
赖,賴頼𡃤
赗,賵
赘,贅
赙,賻
赚,賺
赛,賽
赜,賾
赝,贋贗
赞,讚賛贊
赟,贇
赠,贈
赡,贍
赢,贏
赣,灨贑贛
赨,蚒𧋒𧹝𧌝
赩,奭𦫜
赪,赬
赬,赪竀緽𧹚䞓頳𧹙
赮,蝦霞
🈰,走
赵,趙
赶,趕
赹,𧺓𧻛
赺,趛𧾏
赻,鮮尟
赼,趑𧾕
赽,𧻯
赿,趆遲
趀,𧾒
趂,趁趰
趃,跌
趄,䞡跙𧼀𥩢𨒚
趆,𧺳𧺦赿𧻎𧺽
趈,站䠨
趉,䞷𧾣𧿺𧺐𧺖
趋,趨
趌,𨀙
趍,遲趨𧻬
趎,跦
趏,越𧽂
趐,翅
趑,赼趦𧾕𨀥𨒮
趒,趠跳
趓,𧻞
趕,赶𢆝
趗,促𧻻
趚,𧻕
趛,赺𧾏
趜,𧺤
趞,𧻕𧾀踖
趟,䟖䠀蹚
趠,𢔄超趒踔逴
趡,踓
趥,䠓
趦,趑𧾒
趩,𨅜
趪,僙
趫,超蹻
趬,蹺
趮,躁
趯,狄䞤𧾟䢰喊
趰,趂𧽃
趱,趲
趲,趱䟎
趴,爬
趵,蹠跑𧿇
趶,胯𧿉
趸,躉
趹,𨀆
趻,踸撢
趼,繭研𥀹趼
趼,趼
趽,𨁳
趿,𢰽𢕬
跀,刖𧿁𧿊
跁,𧿏爬矲
跃,躍𬦽
跄,蹌
跅,𧿧𨂫
跇,紲曳𧺿𧽁𧼪𧿰𨂰𧻸𧿱𨒧
跈,趁䟢𨀀踐
跊,𧿴
跎,𧿶𨅞
跐,𧿿
跑,趵𨀓
跔,䞤𧺤跼𨁺㣘
跕,站
跗,柎胕趺𧿤𨁵
跘,𨀷蹣
跙,𨀏趄𨆄阻
跞,躒
跠,夷
跢,趨跥
跤,交骹蹺𨃤
跥,跺跢
跦,趎
跧,銓
跩,𧻸
跬,窺頃䞨蹞𨆆𨇪跪𧿇
跰,逬跰
跰,跰
跱,特𨂄歭
跲,𨕽
跴,踩
跶,躂
跷,蹺蹻
跸,蹕
跹,躚
跺,跥
跻,躋
跽,啓𦜕𨃡
跾,𨁀𢞣𢢱
踀,齪𪘏
踁,胫𨀃脛硜
踂,踙𨃆
踅,䠠
踆,浚竣蹲
踋,脚腳
踌,躊
踍,骹
踑,㠱𧿄䟚基𨄎𨅤
踒,𨄖逶
踓,趡蹴
踔,掉𥢔趠
踕,𨄀
踖,藉趞𨅦𨆮躤𧾀
踗,萳
踙,踂
踚,𬦧
踛,𨄘𨅩
踜,𣥻
踡,䠰
踢,踏踼
踣,部仆殕䟔𧻳䞳䞸𧽴𧽂
踤,萃猝𧺒
踥,躞
踦,羈㞆𩡺
踧,蹙蹴𣥹𨀚𨁕
踨,蹤
踩,跴
踫,碰𨂝
踬,躓
踯,躑
踱,𨀟𨂸躇
踲,遁遯
踳,舛僢堾蝽𨅱𨕌
踶,馳踟蹄𨁃
踸,趻𧿒喊
踹,揣
踺,𨅞
踻,𨀩𧿼
踼,𨃠蹚𨄆𨆉踢
踽,偊
踿,蹙
蹀,𨂏𨁻𨅈
蹁,徧𨆭𨇱
蹆,腿
蹋,闟踏躢蹹𨆚
蹍,𧿸𨃨躔
蹎,顚𨈃𧽍
蹏,蹄
蹑,躡
蹒,蹣
蹓,溜遛
蹔,暂𫏐暫
蹗,䟿𨄭
蹚,趟撑踼𨅨䟫
蹛,滯跌䠠𢅊
蹝,躧屣𡱦𨁾𩎉
蹞,跬
蹡,蹌𨄚𧽩
蹢,豴𨅙躑
蹧,糟遭
蹨,趁
蹩,敝䠥
蹪,𨇚
蹫,𧽻
蹬,登
蹭,驓
蹮,躚𨇫𨇴
蹯,𣫯番籵𥸨𥻫𨁢𨅴𨆌𨆜𩕈
蹰,躕𨆼䟞躊
蹱,徸
蹳,𫏆癹𨅢
蹵,蹴
蹷,蹶𨄬𨇭
蹸,閵躪疄𨆴轥躙
蹹,踏𨀡𨆚蹋躢
蹺,跷蹻趬𣦜跤𬦦
蹻,跷𫏋蹺屩檋趫勪𨃧𣦜
蹿,躥
躀,𬦻
躂,跶𨂧𨂨𨂛
躃,躄𣦢
躉,趸
躌,䟼
躎,䟢𨀀
躏,躪
躐,𫏦獵擸𨆍邋
躒,跞䟏躍
躕,蹰躊䟞𨅒
躖,䠪𨇰𨇔
躗,躛
躘,𨀁𨃸
躚,跹蹮𨇫𨇴𨇤𢕖
躛,躗
躜,躦
躝,𨅬𨈆
躞,踥𨄌
躟,忀
躠,𨆳𨇨
躢,蹋𨇝蹹踏
躣,忂
躤,踖𨆮
躥,蹿竄
躦,躜䠡蹲𨇃𨇇
躧,屣𡱦𨁾蹝𩎉
躨,𨈉
躩,𨈍
躭,耽𨈔𨈨𨈠𨈦𨊍𨊗𧴸
躲,躱軃𩒜
躳,躬𨈴
躴,𨉰
躶,裸
躷,矮㢊
躹,鞠
躺,倘儻
躿,𨈢
軀,躯䠴𩪍𨈬𨊘塸傴鏂
軁,僂𨊖
軂,𬧤
軃,躱嚲躲
軄,𨈪職聀
軇,𨉔
軉,𨉗嬪
軎,𨊢轊𨎥
軏,𫐄䡄䡇
軐,軓
軑,轪軚釱馱
軓,軐范𨊠軌
軔,轫仞杒軔
軔,軔
軕,𫐅
軖,軠𨌂𨌃軭
軗,𨐅𣪠
軘,𨊯
軙,𨊴陳
軚,軑
軜,𫐇納𨌣
軝,𬨂䡋𩉬
軞,𬨁
軠,軖
軡,黔
軤,轷
軥,朐𨊵
軧,𨋆𨌮𨋇
軨,𫐉苓櫺舲零笭䡼䡿齡
軩,𨊺
軬,𫐊𠫿桳㮥𨋒輽
軭,軖
軮,𬨄
軯,駍
軰,輩
軲,轱
軵,𨊭𨊶𨋠𨍷𩒷搑
軶,軛
軷,𫐈
軹,轵枝只
軺,轺𨍳
軿,𫐌輧𨍍
輀,輭𨎪轜
輁,輂
輂,梮檋輁
輄,𨐈𨎩
輆,𬨇
輇,辁輴膞䡅槫輲
輈,辀舟𨏺
輋,𪨶畬
輍,𨌯
輏,輶
輐,魭
輖,𫐏朝𨏺
輗,𫐐䡔棿𨌊𨌵䡚
輘,𨌐
輚,轏
輞,辋棢𨊾𨋹
輠,楇𨍋𨍹過錁
輡,轁轗坎
輢,𫐎倚
輣,𨍩
輥,辊𨍲𨎊
輧,軿𨍍
輨,𫐑錧轄
輬,辌𨍡𨎅𨎍䡙
輭,软軟輀
輮,𫐓揉蹂柔
輰,𠤓
輲,遄輇團槫
輴,輇楯𣚆䡅𨋮
輵,𬨍
輶,𬨎𡸋輏
輷,𫐒𩧕轟𨌨𨊷
輺,輜
輼,辒𨎽轀
輽,軬
轀,輼
轁,輡韜鞱
轃,臻𨍬
轇,𫐖𨎦
轈,𬨓𨏋
轊,𫐕槥𨊥𨎥䡺軎
轋,䡣
轏,棧輚
轐,𫐗僕輹
轑,橑燎
轒,𨎨𨎾
轓,藩𨎚
轔,辚𨏏轥
轖,𩍙𩏫
轘,𨏙
轙,𨏢䡾钀
轛,𣝉
轝,𬛼輿
轞,檻㯺𨏊𨍒
轠,𫐙𨎿𨏒
轥,𨏦轔蹸
车,車
轧,軋
轨,軌
轩,軒
轪,軑
轫,軔
转,轉
轭,軛
轮,輪
软,軟輭
轰,轟
轱,軲
轲,軻
轳,轤
轴,軸
轵,軹
轶,軼
轷,軤
轸,軫
轹,轢
轺,軺
轻,輕
轼,軾
载,載
轾,輊
轿,轎
辀,輈
辁,輇
辂,輅
较,較
辄,輒輙
辅,輔
辆,輛
辇,輦
辈,輩
辉,煇輝
辊,輥
辋,輞
辌,輬
辍,輟
辎,輜
辏,輳
辐,輻
辑,輯
辒,輼
输,輸
辔,轡
辕,轅
辖,轄
辗,輾
辘,轆
辙,轍
辚,轔
辝,辭辞辤
辠,罪
辢,辣𨐜
辤,辞辭辝
辥,㐅薛辟
辦,办辨辯弁
辩,辯
辫,辮
辬,班斑徧賁
辳,农農崬
辵,辶𠔇
辶,辵辶
辶,辶
辸,𠧟
边,邊
辽,遼𥃥
达,達迏𫐳㒓逹挞𡐿迖
迀,迁
迁,遷迀
迃,迂
迆,杝也迤
过,過
迈,邁嘪買
迊,帀仍匝迎
迋,𨑳誑恇𨓒
迍,𨑞𨱥
迏,达
运,運𨗠
迒,亢𨁈䢚
迓,御輅𨓃訝疜
迕,俉逜遌
迖,达
还,還
这,這
进,進尽
远,遠
违,違
连,連
迟,遲
迡,遲𨑧
迣,𨒧𨓄𨑬𨒍
迤,迆𢕷彵𣙛𨒶迱
迧,陳徇
迨,逮𨽿𨾃
迬,往匡
迮,窄𨕠
迱,迤
迳,逕
迵,洞
迻,移𢼏
迼,哜
迾,列厲例𨔜𨔭
适,適𨓈
逄,逢
逈,迥
选,選迭
逊,遜譐
逌,攸由𠧠𠧴𨓘𨔖𨔟𨓗𨘁𠧷
递,遞
逘,俟
逛,誑
逜,迕悟悮
逥,回迴廻
逦,邐
逨,來勑徠
逩,奔
逪,𨗀錯
逬,拼𧻓跰迸𨔧
逭,䠉𨙕𩁧
逯,逮𨓻
逰,遊
逴,趠
逷,逖
逺,遠
逻,邏𫽋
逽,𨔏
逿,𨗪𧼮
遀,隨
遄,輲𨒎𨖇𨖺
遆,遞挮
遈,𨕒
🈫,遊
遌,𨕓𨕣遻迕
遗,遺
遛,溜蹓𨖻
遝,沓𨓬
遟,屖遲
遢,𧰂𨓬
遦,慣
遧,章
遪,𨗘
遫,𨔤速
遬,數速
遰,逝遞𨗼𨘬
遱,𫐷𨘒𨘠
遳,矬
遴,吝僯𨖉𨗄䢯
遹,𨗝
遻,遌俉𨕣𨕓
邅,𧾍㣶
邈,藐𨗿𨙁𨘷貌𨘅𨓅
邋,獵躐
邌,遲𨘯
邍,𨘡𨙅
邎,𨙂𢖟
邐,逦𨓦
邓,鄧
邔,𨙬邔
邔,邔
邕,雝雍壅𡿷
邗,䢴
邘,𨙱
邙,𠁣
邚,㛕婦𨚴
邛,卭𨙭
邜,卯
邝,鄺
邟,𨚐𨚂
邠,𨚇份彬豳㟗𡺳
邡,訪
邢,𨚆郉𨙷
邥,沈
邩,𨚊𨚋
邫,邦
邬,鄔
邮,郵𨛕
邰,台
邳,丕岯妚𨛧
邶,𨚍鄁
邹,鄒
邺,鄴邱
邻,鄰隣
邼,𨝇
邽,圭郌邦
郀,𨚤𨜆𨚛
郃,㪉
郄,𧮬𠜗𨛠郤隙㕁
郅,至
郇,𨜬𨝁
郈,𨚨𨜸
郉,邢
郌,邽
郍,哪那
郏,郟
郐,鄶
郑,鄭
郒,郎
郓,鄆
郖,𨜹
郘,吕
郚,䦜𨵒
郜,𠰛𨜋
郞,郎𨝥
郟,郏夾
郠,𨜦
郣,渤
郥,闃郹
郦,酈
郧,鄖
郫,鞞
郯,𨛂𨞇
郰,𨛿鄹𨝮
郱,郱
郱,郱
郲,𬩾萊
郳,兒
郶,部
郸,鄲
郹,𨜯鄓郥
郺,𡗌
郻,鄡
郼,𨜢
郾,匽燕
郿,𨞅
鄀,𩚈
鄁,邶
鄃,㓱
鄄,甄𨞉
鄆,郓
鄇,𨜫
鄉,乡響享向郷鄊𨝅𨞰𨞸鄕𨜮
鄊,鄉鄕
鄋,𨜛鄵
鄌,唐
鄑,㬐𨝶𨟕鄑
鄑,鄑
鄓,𨜀𦤡䭂郹
鄔,邬𣃶
鄕,郷鄊𨞰鄉
鄖,郧䚋䢵
鄗,郊𨛴䧚𨝲鎬
鄘,墉
鄛,鄛
鄛,鄛
鄜,𨝧𨞻𨟤
鄝,𨝷
鄟,𫑘䧠
鄠,𨛸𨜄
鄡,𨜇郻鄥𨜑
鄢,傿漹𨺆𨽑𨻳
鄣,瘴障
鄤,𨞼𨟔
鄥,𪁗鄡
鄦,𨝬許
鄧,邓
鄩,𬩽𨟌𨟈
鄪,費𨚭𨚓
鄬,䧦䧦
鄮,𬪍𨝤𨞆𨞵
鄯,𨟪
鄱,番
鄳,𫑡𨝪𨞚
鄴,邺
鄵,鄋
鄶,郐檜會𨞡𨞤
鄷,酆
鄸,𨞯𨟁
鄹,聚郰鄒𨜈
鄺,邝
鄼,酇
鄽,𨞬𫑮廛
鄿,蘄
酂,酇
酃,𨞖𨟘𨟮𨟯𨞎
酄,𨞂𨽧
酅,𨟎
酆,灃豐鄷
酇,酂攢醝䣜鄼
酈,郦𨜥𨟫𨼓
酏,𨠑𨡪
酑,𨠱
酓,檿𨟹𨡎飲
酗,䣱䣴𨠮𨠯
酙,斟
酝,醖
酟,沾
酡,𨠑
酤,沽
酦,醱
酧,酬醻
酨,𨠾
酭,醢
酱,醬𨡓𪧷
酴,𨢬
酶,䊈䤂
酹,𤁾𩛝
酺,步脯
酻,浮醉
酼,醢
酽,釅
酾,釃
酿,釀
醁,渌
醃,腌淹𨢴
醄,𨡒
醅,𨟷𨡥𨡋
醆,盏𬪨盞
醊,䄌餟
醎,鹹鹼
醑,𨡠𨢺
醓,䏙𥁭𧖶𧖺𨡍𥁺
醔,篘酋𨡲
醕,醇
醖,酝温藴蕰醞
醘,榼醢醯
醙,𨡻䤇𨤇
醚,𨡅
醝,𨢚𨣣酇鹺𨣩
醞,醖
醟,蒏𨠕𦟴
醠,𨠗
醡,榨𨢛𨣜𨣮𥰾𨡗𨢃𨢧𨢦
醦,𨣔䤘
醧,𬪧
醨,釃漓
醩,糟
醬,酱𤖕𤖙𨟻𨡓𨡰醤
醮,憔齊𥛲𨣐𤎂
醰,䐺𨣌𨤌㽑
醱,酦𨡩醗発䤆
醲,𬪩膿𨠤𨤉
醳,澤釋液𨣠
醶,𫑷釅鹹
醷,醫
醹,㳶𨢾
醻,酬壽𨣊酧𨢫
醼,宴
醽,𨠎𨤍𨢾𨣖𨤀
醾,醿𨣿釄
醿,醾
釂,𣤚𣤹𨤊
釃,酾灑醨𦌿𨢷
釄,醾
釅,酽醶
释,釋
釒,钅金
釓,钆釚釻
釔,钇釶
釕,钌
釗,钊
釙,钋
釚,𫟲釓䤛𨥐銶釻
釠,亂
釤,钐䥇銛
釨,𫓦鋅𨥂
釩,钒
釪,鏵
釫,𬬨圬鏵㭉杇
釬,焊𬬧悍扞銲靬
釭,𨊧
釯,鋩
釰,釼劍
釱,鈦軑鉪
釲,𫟳𨥈鈻
釳,𨰿𨥊
釴,𬬩鉽
釷,钍
釹,钕
釺,钎
釻,釓釚
釽,𬬲𨦝䤨鈲
釾,䥺鋣鎁
鈀,钯
鈁,钫
鈂,𬬵𣜣䤟𨥡
鈃,钘銒𨨵㼛㼛𦈵𤭓㐩𦈨
鈄,钭𨥪𨪐
鈅,钥
鈆,铅𫓪鉛沿
鈇,𫓧斧𠛈
鈈,钚鉟鈹
鈉,钠枘𨧨
鈋,𨱂
鈌,𨥻
鈐,钤𨥩鈴
鈒,钑闟鎩
鈓,𬬯銋
鈖,𫟴
鈗,𫟵𨥡𨦣鏸鋭銳䤞
鈘,䰙鈸鈙
鈙,𫒋擒錡㪁鈘
鈚,𬬫匕錍鎞
鈛,𫓨鍋鉞
鈜,吰
鈟,銱釣
鈠,𨱁𥍟𨦯
鈡,钟鐘
鈢,璽鉩
鈣,钙𨪷
鈤,䤠
鈥,钬
鈦,钛釱
鈧,钪
鈨,鎺
鈭,𨦠
鈮,铌檷鉨
鈯,𨱄
鈰,铈
鈱,鍲刡錉
鈲,𨱃䤨瓜釽
鈳,钶錒鎶
鈶,𬭀柌枱
鈸,钹𬫆鈘
鈹,铍披鉟鈈
鈺,钰
鈻,釲
鈼,𬬽
鈽,钸
鈾,铀宙
鉀,钾甲鑉
鉁,𨱅珍鎮
鉃,鉄鏃
鉆,钻鉗鑽
鉇,匜鍦鉈
鉊,𬬿鍣
鉌,和
鉍,铋瑟柲
鉎,鍟
鉏,锄𬬺鉭鋤苴蒩耡刞
鉑,铂
鉒,注
鉓,飾䤭
鉔,𫓬𨥚
鉕,钷
鉜,錇
鉝,𫟷
鉟,鈈鈹銔
鉠,𫓭鍈
鉣,𨦲𨧶
鉥,𬬸秫訹錰銝
鉧,𬭁䥈
鉨,璽檷鑷鈮
鉩,璽鑈鑷鈢
鉪,釱
鉬,钼𨩩
鉭,钽鉏
鉮,𬬹砷
鉲,鎘
鉴,鍳鑑鑒
鉵,𨰍鐲
鉶,铏刑硎形銒𨦕䤯𨦿
鉷,𫟹
鉸,铰
鉹,𨤽𨥌
鉺,铒餌鏗
鉻,铬銘
鉼,瓶鉼
鉼,鉼
鉽,𫟸釴
鉿,铪匼
銁,𫓲鈞
銂,𫟻
銄,扃餉
銇,錑
銈,𫓯
銉,肆
銊,𫓰鉞
銋,鈓
銌,鐏
銍,铚𨧓𨫐𨧵
銎,𨥲𨥍𨥢𨧎𨩹
銏,𫟶槊
銐,𨦙𨧳𨨬
銒,鉶㐩㼛𤭓𦈨𦈵鈃鋞𨨵
銔,𬭃鉟
銗,𬭅缿
銙,𨨆錁𩊓
銝,鉥
銞,鈞
銠,铑
銢,𨥭䤨
銣,铷
銥,铱鎄
銦,铟𨪶
銧,况
銨,铵
銩,铥
銪,铕
銫,铯
銬,铐𨯕
銮,鑾
銱,铞鈟
銲,焊𬭍釬
銳,𨦣鋭㓹𨧨鈗
銴,𨥃𨦬
銵,鍞鏗
銶,𨱇釚䤛𨥐
銸,鑈鑷鋷
銻,锑厗
銼,锉剉挫
銽,銛
銾,汞
銿,鏞鐘
鋀,鍮𨪐
鋁,铝鑢
鋂,萌镁
鋃,锒钄
鋄,錽𨥧𨩵鎫𨬄𨧴䥑
鋅,锌釨
鋇,钡
鋈,𬈹
鋉,𨱈䥔
鋌,铤莖
鋍,𩱚
鋐,𬭎
鋑,鐫
鋓,镙𠜣
鋔,挽
鋖,鐁
鋗,𫓶梋涓鋗
鋗,鋗
鋘,𬭌圬𨦚鏵鋘鋙
鋘,鋘
鋙,铻䥏鋘
鋚,𨦷鎥
鋛,鑛串鑽礦
鋜,鏃
鋝,锊率寽𨫏鋢
鋞,𨧑𫒔銒
鋟,锓鑯
鋠,𫓵
鋢,鋝
鋣,铘釾鎁
鋥,锃敞䂻
鋦,锔𨦴𨨠𨧙
鋨,锇鐵鉄銕鐡
鋫,鑗
鋬,𨥃
鋮,铖鉞
鋯,锆𨧥
鋰,锂
鋱,铽
鋶,锍
鋷,銸
鋹,𬬮
鋽,銚
鋾,錭釖銚
鋿,鏛鑜
錀,𬬭
錁,锞輠銙
錂,𨱋
錃,𨧦
錄,録𧧱录
錅,鑗
錇,锫鉜
錈,锩
錉,鍲鈱䝧
錋,𬭖
錍,鈚𨤽鎞
錑,𬭜銇
錒,锕鈳
錔,沓
錕,锟
錗,𬭗
錛,锛𨪻鐼𣬞
錜,𫓻
錝,𫓽
錞,𬭚凖幬𨫚鐓𨯢
錟,锬剡銛
錡,锜𨪆鈙
錤,𫓹
錥,𫓾
錧,輨
錩,锠
錪,𬭓𨮔
錭,𬭕彫鋾雕
錰,鉥
錱,珍
錳,锰
錶,表
錸,铼
錽,𫓸𡕢𨥧鋄𨩵鎫𨬄
錾,鏨
鍀,锝
鍁,锨杴
鍃,锪鍯
鍆,钔
鍇,锴
鍈,锳鉠
鍉,𫔂鏑匙
鍊,炼𫔀煉鏈錬
鍌,銑
鍎,𨨷
鍏,𬬬
鍐,㚇鑁騣
鍑,鍢𨫙
鍒,𫔄鑐
鍓,鏶
鍗,𨪉
鍘,铡䥷𨰉
鍚,钖鐊𩋬錫
鍞,鎮銵鏗
鍟,鉎
鍢,鍑
鍣,𬭡鉊𨪓
鍤,锸插臿𨪸
鍥,锲㓶䤿鐑䥛
鍦,𤟽𥍢𥍸釶鉇鉈
鍧,𨰌
鍨,戣
鍩,锘
鍪,牟瞀𨩺䥐
鍫,锹鍬𢊙
鍭,𬭤𨩀翭𦑚
鍯,𬭥鍃鏓
鍰,锾垸環饌
鍱,𨧲𨬘鐷䥡
鍲,鈱錉
鍳,鉴鑒鑑
鍶,锶
鍸,瑚鈷
鍺,锗堵
鍿,錙
鎀,鏅
鎁,釾鋣
鎂,镁
鎄,锿銥
鎇,镅
鎈,𫟿
鎊,镑
鎋,𬭪轄舝
鎍,𫔅
鎎,𨥊𥎃
鎏,瑬
鎒,𬭦耨鐞槈
鎓,𬭩
鎘,镉𨭀鬲鉲𨬑䥶
鎙,𫔈槊矟
鎛,镈鑮
鎜,盤
鎝,𨱏
鎞,𫔇鈚篦錍
鎠,鋼剛
鎡,镃鼒
鎢,钨
鎣,蓥罃
鎥,鋚
鎦,镏留劉磂鐂
鎩,铩鈒𨦅𨨽𨭝
鎪,锼䤹鏉
鎫,錽鋄
鎯,𨱍
鎲,钂
鎳,镍䥛
鎴,䤲
鎵,镓
鎶,鈳
鎷,𨰾
鎸,镌鐫
鎺,鈨
鎻,锁鎖
鎿,镎
鏀,鐪
鏁,𬭲鎖𩪑
鏂,剾𠥺軀𨫕
鏅,鎀
鏆,𨱌
鏇,镟旋
鏉,𨱒𢑻鎪𨫾𢑶
鏊,𨫺𨫼𨮽𨪠
鏋,𬭮𨰛
鏌,镆莫
鏍,镙𨰠
鏎,畢
鏏,𬭬鏸
鏒,𬭝𨨕
鏓,𨨟鍯𨬃
鏔,𬭰
鏕,鏖
鏚,𬭭戚𨭟
鏛,鋿
鏜,镗鐺
鏞,镛庸銿
鏟,铲剷剗𠚿𨩱𨪑𩮲𨲨
鏠,鋒
鏢,镖摽鑣𨰐𨭚
鏦,𫓩摐𥍷𥎋𥎙𨥎𨦱䤸
鏧,𪔳䥢
鏩,鏨
鏫,鑗
鏬,䤣罅
鏮,岡康
鏰,镚
鏳,錚琤
鏴,鑥
鏵,铧𣏼㭉釪釫鋘𨫽
鏶,鍓
鏷,镤𨮓
鏸,𨫍惠鈗鏏
鏹,镪繦强鍄繈
鏹,镪
鏺,䥽㔇𨨻
鏻,𬭸獜
鏽,锈銹肅鏥
鏾,𫔌
鏿,鎗
鐀,𬭢匱鑎
鐁,鋖
